title,company,location,link
Backend разработчик,Мирафокс,Москва,https://hh.ru/vacancy/45792496?query=yii2
Backend разработчик,Мирафокс,Санкт-Петербург,https://hh.ru/vacancy/45945504?query=yii2
"Full-stack разработчик (PHP Yii2, Angular)",Эшелон 960,Москва,https://hh.ru/vacancy/46413859?query=yii2
PHP Developer,L’etoile Digital,Москва,https://hh.ru/vacancy/46372096?query=yii2
WEB full stack developer - PHP,ООО Твоя столицааналитикс,Минск,https://hh.ru/vacancy/46409466?query=yii2
Фуллстек веб-разработчик,ООО АЙРО,Москва,https://hh.ru/vacancy/45939264?query=yii2
Web-разработчик,ТОО CONVEX Co,Алматы,https://hh.ru/vacancy/45943815?query=yii2
Веб-программист PHP (удаленно),ТОО Бэст Прайс Казахстан,Нур-Султан,https://hh.ru/vacancy/46351865?query=yii2
PHP Разработчик,ЛИЦА,Москва,https://hh.ru/vacancy/46177510?query=yii2
"PHP-программист (Yii2, Symfony)",ООО SEO PRO,Чехия,https://hh.ru/vacancy/45751304?query=yii2
"PHP-программист (Yii2, Backend Middle)",Прибыльные приложения,Москва,https://hh.ru/vacancy/44946513?query=yii2
PHP программист (Yii2),Original Group,Москва,https://hh.ru/vacancy/46475064?query=yii2
"Middle Fullstack PHP Developer (Yii2, Laravel, Vue)",АО Издательский дом Бурда,Москва,https://hh.ru/vacancy/46461804?query=yii2
PHP backend разработчик (Yii2),ООО РУВЕНТС,Москва,https://hh.ru/vacancy/46338146?query=yii2
PHP-developer / PHP разработчик,SA MEDIA GROUP,Москва,https://hh.ru/vacancy/46334393?query=yii2
PHP-программист/Backend,ООО Кубэкс Рус,Краснодар,https://hh.ru/vacancy/46240643?query=yii2
PHP-разработчик (Yii2),ООО ПО,Сыктывкар,https://hh.ru/vacancy/43814706?query=yii2
PHP разработчик Yii2,Эттон,Казань,https://hh.ru/vacancy/46454074?query=yii2
Программист PHP (Yii2 желательно) Удаленно,ООО Продамус,Москва,https://hh.ru/vacancy/46376087?query=yii2
Джедай PHP-разработчик (middle),ООО Лидстех,Москва,https://hh.ru/vacancy/46364072?query=yii2
PHP-программист,Wowworks,Москва,https://hh.ru/vacancy/46479084?query=yii2
Backend разработчик (php),ОАО Российские железные дороги,Москва,https://hh.ru/vacancy/46460823?query=yii2
PHP-developer/PHP-программист,"ООО Sellout Sport System, LLC",Казань,https://hh.ru/vacancy/46421607?query=yii2
Программист PHP Laravel (удаленно),Simtech Development,Рязань,https://hh.ru/vacancy/43568459?query=yii2
Программист PHP Laravel (удаленно),Simtech Development,Пенза,https://hh.ru/vacancy/43568464?query=yii2
Php developer,ООО Меркурио,Москва,https://hh.ru/vacancy/44257507?query=yii2
Middle PHP разработчик,Hotmaps,Казань,https://hh.ru/vacancy/45886468?query=yii2
PHP backend разработчик (удаленно),ЛАБИРИНТ,Москва,https://hh.ru/vacancy/44779307?query=yii2
PHP-разработчик ( Symfony ),СБЕР (ООО еАптека),Москва,https://hh.ru/vacancy/45383676?query=yii2
Программист PHP Laravel (удаленно),Simtech Development,Тверь,https://hh.ru/vacancy/43568455?query=yii2
Программист PHP Laravel (удаленно),Simtech Development,Казань,https://hh.ru/vacancy/43568463?query=yii2
Senior PHP-разработчик (удаленная работа),Albatross Internet Group,Новосибирск,https://hh.ru/vacancy/45746347?query=yii2
Программист PHP Laravel (удаленно),Simtech Development,Саранск,https://hh.ru/vacancy/43568460?query=yii2
Программист PHP (Symfony) / PHP-разработчик,ООО ЭЙС Солюшнс,Санкт-Петербург,https://hh.ru/vacancy/42985061?query=yii2
Программист PHP Laravel (удаленно),Simtech Development,Ульяновск,https://hh.ru/vacancy/43421280?query=yii2
Программист PHP Laravel (удаленно),Simtech Development,Чебоксары,https://hh.ru/vacancy/43568465?query=yii2
Программист PHP Laravel (удаленно),Simtech Development,Тольятти,https://hh.ru/vacancy/43568457?query=yii2
Backend-разработчик,ДИВАН.РУ,Москва,https://hh.ru/vacancy/45880393?query=yii2
PHP developer,ООО 4bill,Киев,https://hh.ru/vacancy/45858230?query=yii2
PHP-программист,Реклама Онлайн Группа компаний,Новосибирск,https://hh.ru/vacancy/45812353?query=yii2
PHP-программист,ООО СК Латерна,Москва,https://hh.ru/vacancy/46247096?query=yii2
PHP Developer (Bitrix),QSOFT,Москва,https://hh.ru/vacancy/45689446?query=yii2
PHP-разработчик,HEADS and HANDS,Ростов-на-Дону,https://hh.ru/vacancy/46270618?query=yii2
PHP разработчик,WILIX,Краснодар,https://hh.ru/vacancy/44759190?query=yii2
Backend - разработчик (PHP),Айпартнер|Бинет,Москва,https://hh.ru/vacancy/45743098?query=yii2
PHP-программист (Yii),ООО ИММО,Москва,https://hh.ru/vacancy/44033993?query=yii2
PHP Yii2 программист,Энсайн (Nsign.ru),Минск,https://hh.ru/vacancy/42336155?query=yii2
Программист WEB,Байкал-Сервис,Москва,https://hh.ru/vacancy/46345758?query=yii2
PHP-разработчик,ООО TRUE INTELLIGENCE,Москва,https://hh.ru/vacancy/46155124?query=yii2
PHP-разработчик,HEADS and HANDS,Санкт-Петербург,https://hh.ru/vacancy/46270762?query=yii2
PHP-разработчик,Клерк.Ру,Краснодар,https://hh.ru/vacancy/46214181?query=yii2
Программист PHP,ФГБОУВО МИРЭА,Москва,https://hh.ru/vacancy/45072906?query=yii2
Middle backend разработчик (php/yii2),ООО БОЛЬШАЯ СТРАНА,Пермь,https://hh.ru/vacancy/46169392?query=yii2
PHP программист,ООО Data Armor,Казань,https://hh.ru/vacancy/46232876?query=yii2
PHP-разработчик,ООО Энтерра,Барнаул,https://hh.ru/vacancy/33642022?query=yii2
WEB-разработчик (PHP),"Тион, системы очистки воздуха",Новосибирск,https://hh.ru/vacancy/46012205?query=yii2
Разработчик PHP (backend),LuckyGroup,Москва,https://hh.ru/vacancy/44901825?query=yii2
PHP Developer (Yii2),ЗАО Номари продакшн,Минск,https://hh.ru/vacancy/46288616?query=yii2
Веб-разработчик / Программист PHP в интернет-магазин (VIPAVENUE.RU),Avenue VIP,Казань,https://hh.ru/vacancy/46241009?query=yii2
Backend разработчик (php),АО Диалог,Санкт-Петербург,https://hh.ru/vacancy/44105006?query=yii2
PHP-разработчик,Eqvanta,Казань,https://hh.ru/vacancy/45933844?query=yii2
Программист / разработчик PHP/Yii2 (Middle/Senior),SalesBringer,Москва,https://hh.ru/vacancy/46025922?query=yii2
Senior PHP Developer,Победа Финанс,Краснодар,https://hh.ru/vacancy/43433484?query=yii2
Web-разработчик,Группа отелей GRACE,Сочи,https://hh.ru/vacancy/44608333?query=yii2
PHP-разработчик,ООО Агентство Мобильного Ритейла,Ижевск,https://hh.ru/vacancy/45793925?query=yii2
Начинающий WEB - разработчик / backend программист (PHP),White Tiger Soft,Йошкар-Ола,https://hh.ru/vacancy/45736422?query=yii2
Веб-разработчик PHP (1С-Битрикс) Middle,ИП Дяченко Владислав Валерьевич,Пенза,https://hh.ru/vacancy/46093352?query=yii2
PHP-разработчик,Ай-Теко (I-Teco),Волгоград,https://hh.ru/vacancy/45072838?query=yii2
PHP-разработчик,ООО Вотоня,Санкт-Петербург,https://hh.ru/vacancy/45907392?query=yii2
"Full-stack PHP Developer (Laravel, Vue.js)",Abelohost BV,Нидерланды,https://hh.ru/vacancy/45773290?query=yii2
Backend developer (PHP),ООО ВСМ Груп,Москва,https://hh.ru/vacancy/45316349?query=yii2
PHP - разработчик,Брокеркредитсервис,Москва,https://hh.ru/vacancy/45708796?query=yii2
PHP-программист/разработчик (YII/Битрикс/Bitrix),ООО Лемборган Техно,Уфа,https://hh.ru/vacancy/45872595?query=yii2
PHP-разработчик,Брайт Солюшенз,Минск,https://hh.ru/vacancy/45755195?query=yii2
PHP-программист (разработчик) YII/Битрикс(Bitrix),ООО Лемборган Техно,Магнитогорск,https://hh.ru/vacancy/45872675?query=yii2
PHP-разработчик middle,ЧОУ ДПО «Академия бизнеса и управления системами»,Волгоград,https://hh.ru/vacancy/41810462?query=yii2
PHP-программист,OpenStart,Санкт-Петербург,https://hh.ru/vacancy/45871772?query=yii2
PHP-программист (разработчик) YII/Битрикс(Bitrix),ООО Лемборган Техно,Калининград,https://hh.ru/vacancy/45872689?query=yii2
PHP-программист/разработчик YII/Битрикс (Bitrix),ООО Лемборган Техно,Кострома,https://hh.ru/vacancy/45872649?query=yii2
PHP-программист-разработчик YII/Битрикс (Bitrix),ООО Лемборган Техно,Омск,https://hh.ru/vacancy/45872778?query=yii2
Fullstack /PHP Developer,ЦифровойТы,Новосибирск,https://hh.ru/vacancy/41958173?query=yii2
Разработчик-репетитор на курсы по PHP и Yii,Интерактивные обучающие технологии,Санкт-Петербург,https://hh.ru/vacancy/46151444?query=yii2
Backend-разработчик PHP (middle / senior),SOKOLOV,Новосибирск,https://hh.ru/vacancy/41725641?query=yii2
Middle/Senior PHP-разработчик,NAN Agency,Новосибирск,https://hh.ru/vacancy/45130821?query=yii2
Backend-разработчик,ДИВАН.РУ,Владимир,https://hh.ru/vacancy/45415307?query=yii2
РНР-Разработчик,ООО НСК ЭкоСфера,Москва,https://hh.ru/vacancy/46278028?query=yii2
Senior backend developer (php) удаленно/в офисе,KASSIR.RU,Санкт-Петербург,https://hh.ru/vacancy/42431575?query=yii2
Senior/Lead PHP Developer,SEOWORK,Санкт-Петербург,https://hh.ru/vacancy/45872730?query=yii2
"Backend-разработчик (РНР, middle/senior)",АО Российский аукционный дом,Санкт-Петербург,https://hh.ru/vacancy/43687851?query=yii2
Yii2 Backend Rest API developer for social app (remote),Aparlay Ltd,Новосибирск,https://hh.ru/vacancy/46140918?query=yii2
Ведущий PHP-разработчик,Первый Дом Консалтинга Что делать Консалт,Москва,https://hh.ru/vacancy/44886969?query=yii2
Senior PHP Developer / Teamlead,BelkaCar,Москва,https://hh.ru/vacancy/42430035?query=yii2
Backend-разработчик PHP (middle / senior),SOKOLOV,Омск,https://hh.ru/vacancy/41725642?query=yii2
Программист PHP (Middle),ООО Неовокс Технологии,Смоленск,https://hh.ru/vacancy/44571830?query=yii2
Веб-разработчик,ООО ПО,Сыктывкар,https://hh.ru/vacancy/41970899?query=yii2
"Senior Fullstack-разработчик (PHP, 1С-Битрикс) удаленно",ITECH,Ульяновск,https://hh.ru/vacancy/46470393?query=yii2
Full-stack PHP web developer,Nazarbayev University,Нур-Султан,https://hh.ru/vacancy/46441178?query=yii2
Middle / Senior PHP developer,ООО МедиаСофт,Ульяновск,https://hh.ru/vacancy/30421947?query=yii2
Full-stack разработчик (middle/senior),Агентство страховых технологий,Москва,https://hh.ru/vacancy/42641973?query=yii2
"Middle Fullstack-разработчик (PHP, 1С-Битрикс, Vue.js) удаленно",ITECH,Ульяновск,https://hh.ru/vacancy/46469688?query=yii2
Frontend-разработчик (Middle/Senior),SOKOLOV,Нижний Новгород,https://hh.ru/vacancy/39784830?query=yii2
Frontend-разработчик (Middle or Senior),SOKOLOV,Саратов,https://hh.ru/vacancy/41725984?query=yii2
Frontend-разработчик (Middle or Senior),SOKOLOV,Новосибирск,https://hh.ru/vacancy/41725987?query=yii2
Frontend-разработчик (Middle or Senior),SOKOLOV,Екатеринбург,https://hh.ru/vacancy/41725986?query=yii2
Frontend-разработчик (Middle or Senior),SOKOLOV,Омск,https://hh.ru/vacancy/41725988?query=yii2
Junior backend developer,ASBIS,Минск,https://hh.ru/vacancy/46465944?query=yii2
Web-программист,Розничная сеть Бали и S.Lavia,Киров (Кировская область),https://hh.ru/vacancy/41762354?query=yii2
Руководитель отдела web разработки в г.Набережные Челны,DIGIDOFF DIGITAL AGENCY,Набережные Челны,https://hh.ru/vacancy/45722251?query=yii2
Программист,ПСК Дом девелопмент,Тюмень,https://hh.ru/vacancy/44729931?query=yii2
Frontend разработчик (React),IBReal,Челябинск,https://hh.ru/vacancy/46381917?query=yii2
Junior backend developer (Perenio project),ASBIS,Минск,https://hh.ru/vacancy/46465907?query=yii2
Ведущий программист РНР (Senior),ООО Неовокс Технологии,Смоленск,https://hh.ru/vacancy/44571998?query=yii2
Middle Python разработчик,ООО УМНЫЙ ПОИСК,Санкт-Петербург,https://hh.ru/vacancy/45922575?query=yii2
Программист,ООО Сибирские Сети,Новосибирск,https://hh.ru/vacancy/45711157?query=yii2
MIddle/ Senior .net core developer,Cappers Applications,Москва,https://hh.ru/vacancy/46128219?query=yii2
Backend Developer in User Experience Team (in office/remote),Где мои дети,Пермь,https://hh.ru/vacancy/44654266?query=yii2
QA - engineer / WEB-developer,ООО Перфект Системс,Москва,https://hh.ru/vacancy/42631793?query=yii2
QA Engineer / Web Developer,ООО Перфект Системс,Киев,https://hh.ru/vacancy/46116484?query=yii2
Веб-разработчик,Сеть магазинов цифровой и бытовой техники DNS,Владивосток,https://hh.ru/vacancy/44371356?query=yii2
Веб-разработчик (Middle),Сеть магазинов цифровой и бытовой техники DNS,Владивосток,https://hh.ru/vacancy/42056964?query=yii2
"Backend-разработчик (PHP), Middle",ООО МЕДИАТЕН,Екатеринбург,https://hh.ru/vacancy/46197928?query=yii2
Middle cпециалист по автоматическому тестированию веб-приложений / QA инженер / Тестировщик,ООО Север Авто М,Санкт-Петербург,https://hh.ru/vacancy/46277304?query=yii2
Middle cпециалист по автоматическому тестированию веб-приложений / QA инженер / Тестировщик,ООО Север Авто М,Нижний Новгород,https://hh.ru/vacancy/46277302?query=yii2
Старший инженер-программист (Битрикс24),"Аквариус, Группа компаний",Москва,https://hh.ru/vacancy/45457442?query=yii2
Full‌ ‌Stack‌ ‌Web‌ ‌Developer‌ ‌,ООО ВСМ Груп,Москва,https://hh.ru/vacancy/45503569?query=yii2
"Backend-разработчик (PHP), Junior+",ООО МЕДИАТЕН,Екатеринбург,https://hh.ru/vacancy/46197847?query=yii2
Junior / Middle PHP Developer,ООО АВЛАКС,Ростов-на-Дону,https://hh.ru/vacancy/46200946?query=yii2
Yii2 Backend Rest API developer for social app (remote),Aparlay Ltd,Москва,https://hh.ru/vacancy/46187998?query=yii2
Yii2 Backend Rest API developer for social app (remote),Aparlay Ltd,Санкт-Петербург,https://hh.ru/vacancy/46187999?query=yii2
PHP Fullstack Developer Junior / Middle,Адам Код,Москва,https://hh.ru/vacancy/46177528?query=yii2
Web Full-stack Senior Developer,Wisebits,Санкт-Петербург,https://hh.ru/vacancy/45502192?query=yii2
"Senior PHP Deloper (Yii2, Codeigniter)",Maison Epigenetic,Москва,https://hh.ru/vacancy/46171500?query=yii2
PHP-разработчик (Middle),ТОО WOOPPAY,Караганда,https://hh.ru/vacancy/46155402?query=yii2
Junior web-разработчик,ООО Приоритет,Тюмень,https://hh.ru/vacancy/46189526?query=yii2
Старший front-end разработчик,ЭР-Телеком,Пермь,https://hh.ru/vacancy/46201476?query=yii2
Web-разработчик 1С-Битрикс,ARTBYTE,Кострома,https://hh.ru/vacancy/46173485?query=yii2
PHP разработчик (Payment systems),ECOMMPAY IT,Москва,https://hh.ru/vacancy/46173506?query=yii2
Старший back-end разработчик,ЭР-Телеком,Пермь,https://hh.ru/vacancy/46201182?query=yii2
Web (fullstack) разработчик,MERLION,Москва,https://hh.ru/vacancy/44625661?query=yii2
Fullstack Engineer (AFC team),Exness,Москва,https://hh.ru/vacancy/46216040?query=yii2
Младший WEB-разработчик,Exactpro,Кострома,https://hh.ru/vacancy/46028110?query=yii2
Младший WEB-разработчик,Exactpro,Обнинск,https://hh.ru/vacancy/46028112?query=yii2
Младший WEB-разработчик,Exactpro,Саратов,https://hh.ru/vacancy/46028111?query=yii2
Веб-программист,"ЭФКО, Управляющая компания",Воронеж,https://hh.ru/vacancy/45959821?query=yii2
PHP JavaScript Developer Junior,Адам Код,Минск,https://hh.ru/vacancy/45980545?query=yii2
Backend разработчик,ООО Поволжская экологическая компания,Казань,https://hh.ru/vacancy/45989449?query=yii2
Ведущий программист РНР (Senior),ООО Неовокс Технологии,Волгоград,https://hh.ru/vacancy/44570629?query=yii2
Ведущий программист РНР (Senior),ООО Неовокс Технологии,Волжский (Волгоградская область),https://hh.ru/vacancy/44570776?query=yii2
Архитектор IT,Агентство страховых технологий,Москва,https://hh.ru/vacancy/45622729?query=yii2
Битрикс/Bitrix PHP-программист,Студия Валерия Комягина,Зеленоград,https://hh.ru/vacancy/45210398?query=yii2
Программист Yii,ООО Онлайн-Тренд,Тула,https://hh.ru/vacancy/46178354?query=yii2
Ведущий веб-программист,"ЭФКО, Управляющая компания",Воронеж,https://hh.ru/vacancy/45959810?query=yii2
PHP - разработчик Junior,ООО Умный Мир,Томск,https://hh.ru/vacancy/44544177?query=yii2
Ведущий PHP-программист (Laravel),Студия Валерия Комягина,Зеленоград,https://hh.ru/vacancy/45210383?query=yii2
Начинающий PHP программист,Альтопромо,Новосибирск,https://hh.ru/vacancy/45949553?query=yii2
Web-программист,ООО Центр Семейной Медицины,Томск,https://hh.ru/vacancy/43749790?query=yii2
React / React Native Developer,ООО Вашгород.ру,Новокузнецк,https://hh.ru/vacancy/45994879?query=yii2
Стажёр/Junior Backend-разработчик,ООО Т-студия,Томск,https://hh.ru/vacancy/45971943?query=yii2
Senior PHP Developer,Победа Финанс,Сочи,https://hh.ru/vacancy/44289169?query=yii2
Руководитель web-программистов/web-разработчиков,ООО Санталь 23,Краснодар,https://hh.ru/vacancy/44044030?query=yii2
